seq,display_num,title,date,kaptCode,apt_name,file_count,file_names,download_status
119607,1,장기수선계획서(2023년 10월),2024-06-25,A40480705,가좌 범양파크 아파트,1,20231025-40480701-완본-장기수선계획서-001.zip,OK
36570,1,장기수선계획서,2023-01-30,A40673901,송도더샵엑스포아파트,1,장기수선계획서.pdf,OK
59567,1,장기수선계획서,2023-03-28,A10027898,송도아트윈푸르지오아파트,1,2023 장기수선계획서(송도아트윈푸르지오)-수시조정 3차 (1).pdf,OK
121741,2,2023년도 장기수선충당금 적립 및 사용현황,2024-12-31,A40673101,송도 풍림6단지,1,20241231101545.pdf,OK
59027,1,장기수선충당금 적립 및 사용 현황,2023-03-22,A40673101,송도 풍림6단지,1,장기수선충당금 적립 및 사용현황(2022년).hwp,OK
123158,1,장기수선계획,2025-04-23,A40613003,연수삼성럭키,1,20250108_연수삼성럭키_회의자료용_조정보고서(2025계획안) (4)-최종.docx,OK
127788,5,연수영남장기수선계획서(2025년 12월정기조정),2025-12-23,A40611304,연수영남,0,,NO_FILE
121626,4,장기수선계획서 수시조정(2024.11.20) 2,2024-12-19,A40611304,연수영남,1,장기수선계획서3.pdf,OK
121625,3,장기수선계획서 수시조정(2024.11.20) 1,2024-12-19,A40611304,연수영남,1,장기수선계획서2.pdf,OK
121624,2,장기수선계획서 수시조정(2024.11.20),2024-12-19,A40611304,연수영남,1,장기수선계획서1.pdf,OK
107900,1,장기수선계획서,2024-04-04,A40611304,연수영남,1,장기수선계획서.pdf,OK
59361,2,장기수선충당금 적립 및 사용현황,2023-03-27,A40613001,연수2차현대대림아파트,1,20230327091812_00001.jpg,OK
33551,1,장기수선계획서,2023-01-20,A40613001,연수2차현대대림아파트,2,"연수2차현대대림아파트 장기수선계획(2023)-최종.pdf | 장기수선계획 검토 및 (정기조정,23-11.08).hwp",OK
43626,1,장기수선 계획,2023-02-07,A40673912,송도더샵하버뷰13단지,0,,NO_FILE
73440,2,2023년 장기수선계획서(정기조정),2023-07-21,A40670106,대림3차아파트,1,2023년7월 장기수선계획서 정기조정.hwp,OK
58840,1,2022년 장기수선충당금 적립 및 사용현황,2023-03-20,A40670106,대림3차아파트,1,2022년 장기수선충당금 적립 및 사용현황.pdf,OK
31700,1,장기수선계획서,2023-01-17,A40681502,연수세경,1,2021년 장가수선 정기검토 완료 21.07.xlsx,OK
58924,1,송도더샵그린애비뉴8단지 장기수선계획서(2023.01.06 수시조정),2023-03-21,A40673914,송도더샵그린애비뉴8단지,1,장기수선계획서.pdf,OK
124117,1,2025년 장기수선계획,2025-07-18,A40673918,송도더프라우3단지,1,(2025년 장기수선계획서)_정기조정(3회차).pdf,OK
33620,1,2022년 장기수선계획,2023-01-20,A40671105,연수1차대림,1,장기수선계획 수립 조정안.pdf,OK
47181,1,장기수선계획서,2023-02-10,A40676101,연수시영1차(분양),1,2022장충검토.hwp,OK
39740,1,장기수선계획서(옥련아주아파트),2023-02-02,A40671705,옥련아주,0,,NO_FILE
31861,1,장기수선계획서,2023-01-17,A40676607,연수주공2차,1,장기수선계획서.pdf,OK
123745,1,장기수선계획서,2025-06-25,A40680606,선학아주,1,장기수선계획서.pdf,OK
112620,2,장기수선계획 2023 정기 검토 조정,2024-05-08,A40670706,연수태산,1,2023 장충 조정 건.pdf,OK
40201,1,2022년 기준 장기수선계획,2023-02-03,A40670706,연수태산,1,장기수선계획서(2022).pdf,OK
52600,1,2021년 장기수선계획서,2023-02-21,A10027929,송도더샵마스터뷰2단지,1,20210907-#장기수선계획서.pdf,OK
41520,1,연수풍림1차아파트 장기수선계획,2023-02-06,A40676806,연수풍림1차,0,,NO_FILE
